"TRACTCE","RPL_THEMES","avg_ntl","months_since_fire","month"
2500,0.9201,0.203647197071818,2,1
2500,0.9201,0.174544765341436,3,2
2500,0.9201,0.213962230159167,4,3
2500,0.9201,0.197642398525956,5,4
2500,0.9201,0.358671644242288,6,5
2500,0.9201,0.155508624973188,7,6
2500,0.9201,0.218508909964733,8,7
2500,0.9201,0.188788101865402,9,8
2500,0.9201,0.245603433588877,10,9
2500,0.9201,0.267111974248376,11,10
2500,0.9201,0.264060253632535,12,11
2500,0.9201,0.936933819117764,13,12
2500,0.9201,3.31505241162472,14,1
2500,0.9201,0.117995220741564,15,2
2500,0.9201,0.220898109668662,16,3
2500,0.9201,0.21728354382013,17,4
2500,0.9201,0.330948790584488,18,5
2500,0.9201,0.211260099297455,19,6
2500,0.9201,0.252920113540609,20,7
2500,0.9201,0.140586617817136,21,8
2500,0.9201,0.325430504863754,22,9
2500,0.9201,0.184437712744454,23,10
2500,0.9201,0.173420275392354,24,11
